Time,Open,High,Low,Latest,Change,%Change,Volume
2019-06-11,0.02311,0.02311,0.02311,0.02311,0.0001,+0.43%,0
2019-06-10,0.02301,0.02301,0.02301,0.02301,-0.0003,-1.29%,0
2019-06-07,0.02331,0.02331,0.02331,0.02331,0.00004,+0.17%,0
2019-06-06,0.02327,0.02327,0.02327,0.02327,-0.0004,-1.69%,0
2019-06-05,0.02367,0.02367,0.02367,0.02367,-0.00013,-0.55%,0
2019-06-04,0.0238,0.0238,0.0238,0.0238,-0.00023,-0.96%,0
2019-06-03,0.02403,0.02403,0.02403,0.02403,-0.00027,-1.11%,0
2019-05-31,0.0243,0.0243,0.0243,0.0243,0,0.00%,0
2019-05-30,0.0243,0.0243,0.0243,0.0243,0.00002,+0.08%,0
2019-05-29,0.02428,0.02428,0.02428,0.02428,0.00003,+0.12%,0
2019-05-28,0.02425,0.02425,0.02425,0.02425,0.00009,+0.37%,0
2019-05-24,0.02416,0.02416,0.02416,0.02416,-0.00005,-0.21%,0
2019-05-23,0.02421,0.02421,0.02421,0.02421,0.00006,+0.25%,0
2019-05-22,0.02415,0.02415,0.02415,0.02415,0.00002,+0.08%,0
2019-05-21,0.02413,0.02413,0.02413,0.02413,0.00008,+0.33%,0
2019-05-20,0.02405,0.02405,0.02405,0.02405,0,0.00%,0
2019-05-17,0.02405,0.02405,0.02405,0.02405,0.0001,+0.42%,0
2019-05-16,0.02395,0.02395,0.02395,0.02395,0.00001,+0.04%,0
2019-05-15,0.02394,0.02394,0.02394,0.02394,0.00001,+0.04%,0
2019-05-14,0.02393,0.02393,0.02393,0.02393,-0.0001,-0.42%,0
2019-05-13,0.02403,0.02403,0.02403,0.02403,-0.00007,-0.29%,0
2019-05-10,0.0241,0.0241,0.0241,0.0241,-0.0001,-0.41%,0
2019-05-09,0.0242,0.0242,0.0242,0.0242,0,0.00%,0
2019-05-08,0.0242,0.0242,0.0242,0.0242,0,0.00%,0
2019-05-07,0.0242,0.0242,0.0242,0.0242,-0.00009,-0.37%,0
2019-05-06,0.02429,0.02429,0.02429,0.02429,-0.00008,-0.33%,0
2019-05-03,0.02437,0.02437,0.02437,0.02437,0.00005,+0.21%,0
2019-05-02,0.02432,0.02432,0.02432,0.02432,0,0.00%,0
2019-05-01,0.02432,0.02432,0.02432,0.02432,-0.00004,-0.16%,0
2019-04-30,0.02436,0.02436,0.02436,0.02436,0.00001,+0.04%,0
2019-04-29,0.02435,0.02435,0.02435,0.02435,-0.00001,-0.04%,0
2019-04-26,0.02436,0.02436,0.02436,0.02436,0.00006,+0.25%,0
2019-04-25,0.0243,0.0243,0.0243,0.0243,-0.00009,-0.37%,0
2019-04-24,0.02439,0.02439,0.02439,0.02439,-0.00006,-0.25%,0
2019-04-23,0.02445,0.02445,0.02445,0.02445,0.00002,+0.08%,0
2019-04-22,0.02443,0.02443,0.02443,0.02443,0.00004,+0.16%,0
2019-04-18,0.02439,0.02439,0.02439,0.02439,0.0001,+0.41%,0
2019-04-17,0.02429,0.02429,0.02429,0.02429,0.00003,+0.12%,0
2019-04-16,0.02426,0.02426,0.02426,0.02426,0.00003,+0.12%,0
2019-04-15,0.02423,0.02423,0.02423,0.02423,0.00001,+0.04%,0
2019-04-12,0.02422,0.02422,0.02422,0.02422,0.00001,+0.04%,0
2019-04-11,0.02421,0.02421,0.02421,0.02421,-0.00003,-0.12%,0
2019-04-10,0.02424,0.02424,0.02424,0.02424,0.00003,+0.12%,0
2019-04-09,0.02421,0.02421,0.02421,0.02421,-0.00003,-0.12%,0
2019-04-08,0.02424,0.02424,0.02424,0.02424,0.00005,+0.21%,0
2019-04-05,0.02419,0.02419,0.02419,0.02419,0.00006,+0.25%,0
2019-04-04,0.02413,0.02413,0.02413,0.02413,0.00006,+0.25%,0
2019-04-03,0.02407,0.02407,0.02407,0.02407,0.00001,+0.04%,0
2019-04-02,0.02406,0.02406,0.02406,0.02406,0.00001,+0.04%,0
2019-04-01,0.02405,0.02405,0.02405,0.02405,-0.00008,-0.33%,0
2019-03-29,0.02413,0.02413,0.02413,0.02413,-0.00002,-0.08%,0
2019-03-28,0.02415,0.02415,0.02415,0.02415,-0.00007,-0.29%,0
2019-03-27,0.02422,0.02422,0.02422,0.02422,-0.00001,-0.04%,0
2019-03-26,0.02423,0.02423,0.02423,0.02423,-0.00011,-0.45%,0
2019-03-25,0.02434,0.02434,0.02434,0.02434,-0.00009,-0.37%,0
2019-03-22,0.02443,0.02443,0.02443,0.02443,0.00011,+0.45%,0
2019-03-21,0.02432,0.02432,0.02432,0.02432,0.00004,+0.16%,0
2019-03-20,0.02428,0.02428,0.02428,0.02428,-0.00005,-0.21%,0
2019-03-18,0.02433,0.02433,0.02433,0.02433,-0.00003,-0.12%,0
2019-03-15,0.02436,0.02436,0.02436,0.02436,-0.00002,-0.08%,0
2019-03-14,0.02438,0.02438,0.02438,0.02438,-0.00001,-0.04%,0
2019-03-13,0.02439,0.02439,0.02439,0.02439,0.00001,+0.04%,0
2019-03-12,0.02438,0.02438,0.02438,0.02438,0.00001,+0.04%,0
