Time,Open,High,Low,Latest,Change,%Change,Volume
2026-03-23,0.03752,0.03752,0.03752,0.03752,0.00074,+2.01%,0
2026-03-19,0.03678,0.03678,0.03678,0.03678,0.0001,+0.27%,0
2026-03-17,0.03668,0.03668,0.03668,0.03668,0,0.00%,0
2026-03-16,0.03668,0.03668,0.03668,0.03668,0.00004,+0.11%,0
2026-03-13,0.03664,0.03664,0.03664,0.03664,0.00023,+0.63%,0
2026-03-12,0.03641,0.03641,0.03641,0.03641,0.00013,+0.36%,0
2026-03-11,0.03628,0.03628,0.03628,0.03628,-0.0001,-0.27%,0
2026-03-10,0.03638,0.03638,0.03638,0.03638,0.00021,+0.58%,0
2026-03-09,0.03617,0.03617,0.03617,0.03617,-0.00024,-0.66%,0
2026-03-06,0.03641,0.03641,0.03641,0.03641,0.00009,+0.25%,0
2026-03-05,0.03632,0.03632,0.03632,0.03632,0.00003,+0.08%,0
2026-03-04,0.03629,0.03629,0.03629,0.03629,0.00011,+0.30%,0
2026-03-03,0.03618,0.03618,0.03618,0.03618,0.00018,+0.50%,0
2026-03-02,0.036,0.036,0.036,0.036,-0.00018,-0.50%,0
2026-02-27,0.03618,0.03618,0.03618,0.03618,-0.00003,-0.08%,0
2026-02-26,0.03621,0.03621,0.03621,0.03621,-0.00005,-0.14%,0
2026-02-25,0.03626,0.03626,0.03626,0.03626,0.00001,+0.03%,0
2026-02-24,0.03625,0.03625,0.03625,0.03625,0.00006,+0.17%,0
2026-02-23,0.03619,0.03619,0.03619,0.03619,0.00011,+0.30%,0
2026-02-20,0.03608,0.03608,0.03608,0.03608,0.00004,+0.11%,0
2026-02-19,0.03604,0.03604,0.03604,0.03604,0.0001,+0.28%,0
2026-02-18,0.03594,0.03594,0.03594,0.03594,0.00007,+0.20%,0
2026-02-17,0.03587,0.03587,0.03587,0.03587,-0.00011,-0.31%,0
2026-02-13,0.03598,0.03598,0.03598,0.03598,-0.00003,-0.08%,0
2026-02-12,0.03601,0.03601,0.03601,0.03601,0.00041,+1.15%,0
